ID	Sentence	Score
194	Adoro le betulle, un tipo interessante di cespuglio.	2.25
223	Adoro il salmone, un tipo interessante di vitello.	1.36
322	Amo gli alberi, ed anche le betulle.	3.75
250	Adoro le ostriche, un tipo interessante di manzo.	1.0
356	Amo i prodotti del mare, ed anche il vitello.	5.09
42	Amo i cani, ma non i passeri.	4.5
154	Amo i merli, un tipo interessante di gatto.	1.08
511	Amo il tacchino più delle ostriche.	5.64
116	Adoro il vitello, ma non le ostriche.	4.27
268	Amo i criceti, ed anche i pappagalli.	5.5
91	Adoro i prodotti del mare, ma non il pollo.	3.45
189	Adoro l' erba, un tipo interessante di betulla.	1.31
56	Adoro gli alberi, ma non gli arbusti.	4.5
512	Amo le ostriche più del manzo.	6.09
130	Adoro il manzo, ma non il caviale.	4.92
1	Amo i gatti, ma non i pappagalli.	4.83
7	Amo gli uccelli, ma non i criceti.	4.92
233	Adoro il pollo, un tipo interessante di granchi.	1.15
391	Amo il caviale, ed anche il manzo.	6.0
214	Adoro i pini, un tipo interessante di cespuglio.	1.62
5	Amo i pappagalli, ma non i criceti.	4.83
347	Amo i pini, ed anche gli arbusti.	4.18
164	Amo i passeri, un tipo interessante di gatto.	1.11
257	Adoro il vitello, un tipo interessante di caviale.	1.0
497	Amo i prodotti del mare più dei granchi.	2.0
249	Adoro il tacchino, un tipo interessante di ostriche.	1.0
337	Amo gli abeti, ed anche gli arbusti.	5.4
338	Amo gli arbusti, ed anche gli abeti.	6.0
395	Amo i pappagalli più degli uccelli.	2.92
421	Amo i criceti più dei merli.	5.58
474	Amo i pini più degli animali.	4.83
327	Amo le betulle, ed anche gli arbusti.	5.44
400	Amo gli uccelli più dei criceti.	4.73
445	Amo i cespugli più delle querce.	5.54
295	Amo i passeri, ed anche i gatti.	6.0
218	Adoro il salmone, un tipo interessante di pollo.	1.15
96	Adoro il tacchino, ma non il salmone.	4.2
459	Amo gli arbusti più delle betulle.	5.0
251	Adoro il manzo, un tipo interessante di ostriche.	1.5
237	Adoro il vitello, un tipo interessante di granchi.	1.22
104	Adoro i prodotti del mare, ma non i granchi.	6.33
472	Amo i pini più degli alberi.	1.55
230	Adoro il manzo, un tipo interessante di salmone.	1.45
262	Amo i pappagalli, ed anche i gatti.	5.92
293	Amo i merli, ed anche i cani.	6.33
155	Amo i gatti, un tipo interessante di merlo.	1.17
269	Amo gli uccelli, ed anche i criceti.	6.0
348	Amo gli arbusti, ed anche i pini.	5.55
456	Amo le betulle più dei cespugli.	5.25
446	Amo gli alberi più dei cespugli.	6.17
436	Amo le querce più dell' erba.	5.33
151	Amo i maiali, un tipo interessante di anatra.	1.0
485	Amo il salmone più del vitello.	6.67
320	Amo l' erba, ed anche le betulle.	5.77
253	Adoro il pollo, un tipo interessante di caviale.	1.0
344	Amo gli animali, ed anche i pini.	3.62
101	Adoro i granchi, ma non il pollo.	3.25
520	Amo il caviale più del tacchino.	6.27
192	Adoro le betulle, un tipo interessante di animale.	1.11
331	Amo gli abeti, ed anche gli alberi.	3.17
438	Amo le querce più degli alberi.	1.6
70	Adoro gli alberi, ma non gli abeti.	5.91
384	Amo il pollo, ed anche il caviale.	5.78
470	Amo i pini più dell' erba.	5.73
481	Amo il pollo più del salmone.	6.08
309	Amo gli alberi, ed anche l' erba.	6.17
397	Amo gli uccelli più dei gatti.	6.67
66	Adoro gli arbusti, ma non le betulle.	3.18
254	Adoro il caviale, un tipo interessante di prodotti del mare.	5.82
146	Amo le anatre, un tipo interessante di uccello.	6.55
505	Amo il pollo più delle ostriche.	6.67
82	Adoro gli animali, ma non i pini.	2.27
355	Amo il vitello, ed anche il salmone.	5.75
172	Amo i passeri, un tipo interessante di cane.	1.4
468	Amo gli abeti più degli arbusti.	5.0
244	Adoro le ostriche, un tipo interessante di prodotti del mare.	6.17
509	Amo il vitello più delle ostriche.	6.5
328	Amo gli arbusti, ed anche le betulle.	4.63
209	Adoro l' erba, un tipo interessante di pino.	1.33
147	Amo gli uccelli, un tipo interessante di anatra.	1.67
409	Amo gli uccelli più delle anatre.	3.5
208	Adoro i pini, un tipo interessante di erba.	1.62
213	Adoro gli animali, un tipo interessante di pino.	1.09
345	Amo i pini, ed anche i cespugli.	5.33
486	Amo il vitello più del salmone.	6.0
47	Adoro gli alberi, ma non l' erba.	4.83
67	Adoro gli abeti, ma non l' erba.	3.25
33	Amo i passeri, ma non i gatti.	4.42
521	Amo il tacchino più del caviale.	6.23
494	Amo i granchi più del pollo.	6.33
134	Amo gli uccelli, un tipo interessante di pappagallo.	1.64
38	Amo i criceti, ma non i passeri.	4.91
188	Adoro le betulle, un tipo interessante di erba.	1.75
336	Amo i cespugli, ed anche gli abeti.	5.55
85	Adoro i pini, ma non gli arbusti.	5.18
234	Adoro i granchi, un tipo interessante di prodotti del mare.	6.42
168	Amo i passeri, un tipo interessante di criceto.	1.0
107	Adoro i granchi, ma non il tacchino.	3.36
160	Amo i merli, un tipo interessante di maiale.	1.0
41	Amo i passeri, ma non i cani.	4.5
78	Adoro l' erba, ma non i pini.	2.92
176	Adoro le querce, un tipo interessante di albero.	6.77
227	Adoro il tacchino, un tipo interessante di salmone.	1.2
173	Amo i cani, un tipo interessante di passero.	1.08
442	Amo gli animali più delle querce.	4.5
103	Adoro i granchi, ma non i prodotti del mare.	4.09
18	Amo i criceti, ma non le anatre.	4.67
93	Adoro il vitello, ma non il salmone.	4.67
129	Adoro il caviale, ma non il manzo.	3.17
86	Adoro gli arbusti, ma non i pini.	4.83
435	Amo i cani più dei passeri.	5.92
377	Amo le ostriche, ed anche il vitello.	5.92
12	Amo gli uccelli, ma non i cani.	4.92
15	Amo le anatre, ma non gli uccelli.	3.5
162	Amo i merli, un tipo interessante di cane.	1.55
69	Adoro gli abeti, ma non gli alberi.	2.83
121	Adoro il caviale, ma non il pollo.	3.33
343	Amo i pini, ed anche gli animali.	4.75
201	Adoro gli alberi, un tipo interessante di abete.	1.33
118	Adoro il tacchino, ma non le ostriche.	4.5
279	Amo le anatre, ed anche i criceti.	5.54
478	Amo i pini più degli arbusti.	4.73
270	Amo i pappagalli, ed anche i maiali.	5.33
140	Amo i maiali, un tipo interessante di pappagallo.	1.0
52	Adoro i cespugli, ma non le querce.	4.73
37	Amo i passeri, ma non i criceti.	4.58
403	Amo gli uccelli più dei maiali.	6.42
504	Amo le ostriche più del pollo.	6.0
115	Adoro le ostriche, ma non il vitello.	3.5
87	Adoro il salmone, ma non il pollo.	5.0
255	Adoro i prodotti del mare, un tipo interessante di caviale.	2.18
112	Adoro il pollo, ma non le ostriche.	3.0
491	Amo il salmone più del manzo.	6.27
404	Amo i pappagalli più dei cani.	5.32
16	Amo gli uccelli, ma non le anatre.	5.83
398	Amo i pappagalli più dei criceti.	6.18
92	Adoro il salmone, ma non il vitello.	3.0
314	Amo i cespugli, ed anche le querce.	6.22
423	Amo i maiali più dei merli.	5.08
114	Adoro i prodotti del mare, ma non le ostriche.	6.42
302	Amo i maiali, ed anche i passeri.	5.0
4	Amo gli uccelli, ma non i gatti.	4.83
460	Amo gli abeti più dell' erba.	5.91
90	Adoro i prodotti del mare, ma non il salmone.	6.27
46	Adoro gli alberi, ma non le querce.	6.09
475	Amo gli animali più dei pini.	4.91
499	Amo il vitello più dei granchi.	6.0
72	Adoro gli animali, ma non gli abeti.	1.45
523	Amo il manzo più del caviale.	6.45
306	Amo l' erba, ed anche le querce.	3.5
457	Amo i cespugli più delle betulle.	5.67
496	Amo i granchi più dei prodotti del mare.	2.0
200	Adoro gli abeti, un tipo interessante di albero.	5.82
64	Adoro i cespugli, ma non le betulle.	2.83
298	Amo gli uccelli, ed anche i passeri.	3.17
387	Amo il caviale, ed anche il vitello.	5.92
304	Amo i cani, ed anche i passeri.	5.46
242	Adoro le ostriche, un tipo interessante di pollo.	1.0
492	Amo il manzo più del salmone.	5.92
231	Adoro i prodotti del mare, un tipo interessante di manzo.	1.25
163	Amo i cani, un tipo interessante di merlo.	1.0
239	Adoro il tacchino, un tipo interessante di granchi.	1.82
373	Amo le ostriche, ed anche il pollo.	4.67
178	Adoro gli alberi, un tipo interessante di erba.	1.33
389	Amo il caviale, ed anche il tacchino.	5.0
473	Amo gli alberi più dei pini.	3.17
483	Amo i prodotti del mare più del salmone.	2.0
127	Adoro il caviale, ma non il tacchino.	4.75
71	Adoro gli abeti, ma non gli animali.	3.92
59	Adoro le betulle, ma non gli alberi.	2.92
50	Adoro gli alberi, ma non gli animali.	4.42
224	Adoro il vitello, un tipo interessante di salmone.	1.17
53	Adoro gli alberi, ma non i cespugli.	4.91
354	Amo il salmone, ed anche il vitello.	5.67
501	Amo il tacchino più dei granchi.	5.54
364	Amo il pollo, ed anche i granchi.	5.92
321	Amo le betulle, ed anche gli alberi.	3.08
448	Amo gli arbusti più delle querce.	4.73
381	Amo le ostriche, ed anche il manzo.	5.95
23	Amo i merli, ma non i gatti.	4.67
ID	Sentence	Score
21	Amo le anatre, ma non i cani.	4.42
191	Adoro gli alberi, un tipo interessante di betulla.	1.33
83	Adoro i pini, ma non i cespugli.	3.83
259	Adoro il tacchino, un tipo interessante di caviale.	1.0
352	Amo i prodotti del mare, ed anche il salmone.	4.75
142	Amo i pappagalli, un tipo interessante di cane.	1.54
34	Amo i gatti, ma non i passeri.	4.83
119	Adoro le ostriche, ma non il manzo.	3.33
360	Amo il salmone, ed anche il manzo.	5.75
402	Amo i maiali più dei pappagalli.	5.36
252	Adoro il caviale, un tipo interessante di pollo.	1.36
303	Amo i passeri, ed anche i cani.	6.33
286	Amo i gatti, ed anche i merli.	5.25
517	Amo i prodotti del mare più del caviale.	3.25
225	Adoro i prodotti del mare, un tipo interessante di vitello.	1.09
117	Adoro le ostriche, ma non il tacchino.	3.75
26	Amo gli uccelli, ma non i merli.	6.33
433	Amo i maiali più dei passeri.	5.56
363	Amo i granchi, ed anche il pollo.	4.92
513	Amo il manzo più delle ostriche.	6.55
353	Amo i prodotti del mare, ed anche il pollo.	4.17
44	Adoro l' erba, ma non le querce.	4.18
260	Adoro il caviale, un tipo interessante di manzo.	1.82
3	Amo gli uccelli, ma non i pappagalli.	6.33
382	Amo il manzo, ed anche le ostriche.	5.25
349	Amo il salmone, ed anche il pollo.	6.09
97	Adoro i prodotti del mare, ma non il tacchino.	2.5
247	Adoro il vitello, un tipo interessante di ostriche.	1.42
241	Adoro il manzo, un tipo interessante di granchi.	1.09
57	Adoro le betulle, ma non l' erba.	4.73
13	Amo le anatre, ma non i gatti.	4.5
264	Amo i pappagalli, ed anche gli uccelli.	3.09
30	Amo i maiali, ma non i merli.	4.42
65	Adoro le betulle, ma non gli arbusti.	3.67
399	Amo i criceti più dei pappagalli.	4.45
111	Adoro le ostriche, ma non il pollo.	4.08
506	Amo le ostriche più dei prodotti del mare.	2.45
128	Adoro il tacchino, ma non il caviale.	3.83
108	Adoro il tacchino, ma non i granchi.	4.42
454	Amo le betulle più degli animali.	5.77
235	Adoro i prodotti del mare, un tipo interessante di granchio.	2.58
324	Amo gli animali, ed anche le betulle.	4.73
76	Adoro gli arbusti, ma non gli abeti.	4.5
484	Amo i prodotti del mare più del pollo.	6.17
467	Amo i cespugli più degli abeti.	5.4
294	Amo i cani, ed anche i merli.	6.09
84	Adoro i cespugli, ma non i pini.	3.75
376	Amo i prodotti del mare, ed anche le ostriche.	4.17
383	Amo il caviale, ed anche il pollo.	6.0
447	Amo le querce più degli arbusti.	5.1
495	Amo il pollo più dei granchi.	5.92
193	Adoro gli animali, un tipo interessante di betulla.	1.4
329	Amo gli abeti, ed anche l' erba.	5.6
333	Amo gli abeti, ed anche gli animali.	4.27
153	Amo i cani, un tipo interessante di anatra.	1.0
245	Adoro i prodotti del mare, un tipo interessante di ostrica.	2.27
198	Adoro gli abeti, un tipo interessante di erba.	1.4
212	Adoro i pini, un tipo interessante di animale.	1.0
305	Amo le querce, ed anche l' erba.	5.45
507	Amo i prodotti del mare più delle ostriche.	2.25
413	Amo i maiali più delle anatre.	5.83
432	Amo i passeri più dei maiali.	6.17
48	Adoro le querce, ma non gli animali.	2.9
458	Amo le betulle più degli arbusti.	4.85
408	Amo le anatre più degli uccelli.	2.92
374	Amo il pollo, ed anche le ostriche.	5.38
11	Amo i pappagalli, ma non i cani.	4.5
510	Amo le ostriche più del tacchino.	5.55
469	Amo gli arbusti più degli abeti.	5.17
131	Amo i pappagalli, un tipo interessante di gatto.	1.0
392	Amo il manzo, ed anche il caviale.	5.82
489	Amo il tacchino più del salmone.	6.42
80	Adoro gli alberi, ma non i pini.	5.55
36	Amo gli uccelli, ma non i passeri.	6.25
482	Amo il salmone più dei prodotti del mare.	2.58
9	Amo i maiali, ma non i pappagalli.	4.5
431	Amo i criceti più dei passeri.	6.42
68	Adoro l' erba, ma non gli abeti.	3.5
145	Amo i gatti, un tipo interessante di anatra.	1.09
366	Amo i prodotti del mare, ed anche i granchi.	4.25
220	Adoro il salmone, un tipo interessante di prodotti del mare.	5.17
274	Amo gli uccelli, ed anche i cani.	6.56
455	Amo gli animali più delle betulle.	4.78
287	Amo i merli, ed anche gli uccelli.	3.09
43	Adoro le querce, ma non l' erba.	5.0
375	Amo le ostriche, ed anche i prodotti del mare.	5.25
207	Adoro gli arbusti, un tipo interessante di abete.	1.75
161	Amo i maiali, un tipo interessante di merlo.	1.32
488	Amo il salmone più del tacchino.	5.58
346	Amo i cespugli, ed anche i pini.	6.0
196	Adoro le betulle, un tipo interessante di arbusto.	3.56
210	Adoro i pini, un tipo interessante di albero.	6.5
487	Amo i prodotti del mare più del vitello.	5.33
81	Adoro i pini, ma non gli animali.	3.33
229	Adoro il salmone, un tipo interessante di manzo.	1.0
380	Amo il tacchino, ed anche le ostriche.	5.77
24	Amo i gatti, ma non i merli.	4.58
143	Amo gli uccelli, un tipo interessante di cane.	1.0
256	Adoro il caviale, un tipo interessante di vitello.	2.64
45	Adoro le querce, ma non gli alberi.	3.0
105	Adoro i granchi, ma non il vitello.	3.64
480	Amo il salmone più del pollo.	6.59
411	Amo i criceti più delle anatre.	6.08
307	Amo le querce, ed anche gli alberi.	2.92
284	Amo i cani, ed anche le anatre.	6.22
98	Adoro il salmone, ma non il manzo.	4.09
22	Amo i cani, ma non le anatre.	4.75
273	Amo i pappagalli, ed anche i cani.	6.09
301	Amo i passeri, ed anche i maiali.	5.91
479	Amo gli arbusti più dei pini.	4.38
341	Amo i pini, ed anche gli alberi.	3.0
27	Amo i merli, ma non i criceti.	4.67
340	Amo l' erba, ed anche i pini.	4.67
414	Amo le anatre più dei cani.	6.4
311	Amo gli animali, ed anche le querce.	5.92
412	Amo le anatre più dei maiali.	6.17
266	Amo gli uccelli, ed anche i gatti.	6.6
515	Amo il pollo più del caviale.	6.0
61	Adoro le betulle, ma non gli animali.	3.08
74	Adoro i cespugli, ma non gli abeti.	4.45
246	Adoro le ostriche, un tipo interessante di vitello.	1.46
461	Amo l' erba più degli abeti.	4.89
94	Adoro i prodotti del mare, ma non il vitello.	1.92
272	Amo gli uccelli, ed anche i maiali.	5.17
434	Amo i passeri più dei cani.	5.9
187	Adoro gli alberi, un tipo interessante di arbusto.	2.36
278	Amo gli uccelli, ed anche le anatre.	4.75
369	Amo i granchi, ed anche il tacchino.	5.67
280	Amo i criceti, ed anche le anatre.	4.5
292	Amo i maiali, ed anche i merli.	5.42
416	Amo i merli più dei gatti.	6.08
325	Amo le betulle, ed anche i cespugli.	5.67
63	Adoro le betulle, ma non i cespugli.	3.58
228	Adoro i prodotti del mare, un tipo interessante di tacchino.	1.0
430	Amo i passeri più dei criceti.	6.2
88	Adoro il pollo, ma non il salmone.	5.36
518	Amo il caviale più del vitello.	5.75
396	Amo gli uccelli più dei pappagalli.	3.68
394	Amo i gatti più dei pappagalli.	6.67
206	Adoro gli abeti, un tipo interessante di arbusto.	3.3
77	Adoro i pini, ma non l' erba.	3.67
136	Amo i pappagalli, un tipo interessante di criceto.	1.38
126	Adoro il vitello, ma non il caviale.	4.33
405	Amo gli uccelli più dei cani.	6.46
426	Amo i passeri più dei gatti.	5.9
267	Amo i pappagalli, ed anche i criceti.	6.42
263	Amo i gatti, ed anche i pappagalli.	5.67
60	Adoro gli alberi, ma non le betulle.	5.45
476	Amo i pini più dei cespugli.	6.0
109	Adoro i granchi, ma non il manzo.	4.0
417	Amo i gatti più dei merli.	6.45
367	Amo i granchi, ed anche il vitello.	4.83
308	Amo gli alberi, ed anche le querce.	4.0
17	Amo le anatre, ma non i criceti.	4.67
54	Adoro le querce, ma non gli arbusti.	3.67
120	Adoro il manzo, ma non le ostriche.	4.83
444	Amo le querce più dei cespugli.	6.0
31	Amo i merli, ma non i cani.	4.67
100	Adoro i prodotti del mare, ma non il manzo.	2.17
258	Adoro il caviale, un tipo interessante di tacchino.	1.4
79	Adoro i pini, ma non gli alberi.	4.0
429	Amo gli uccelli più dei passeri.	2.08
283	Amo le anatre, ed anche i cani.	3.5
199	Adoro l' erba, un tipo interessante di abete.	1.0
296	Amo i gatti, ed anche i passeri.	5.67
368	Amo il vitello, ed anche i granchi.	5.46
236	Adoro i granchi, un tipo interessante di vitello.	1.36
378	Amo il vitello, ed anche le ostriche.	5.55
319	Amo le betulle, ed anche l' erba.	6.33
139	Amo i pappagalli, un tipo interessante di maiale.	1.3
186	Adoro gli arbusti, un tipo interessante di quercia.	1.83
390	Amo il tacchino, ed anche il caviale.	6.42
190	Adoro le betulle, un tipo interessante di albero.	7.0
138	Amo gli uccelli, un tipo interessante di criceto.	1.3
350	Amo il pollo, ed anche il salmone.	6.0
450	Amo le betulle più dell' erba.	6.0
132	Amo i gatti, un tipo interessante di pappagallo.	1.27
29	Amo i merli, ma non i maiali.	4.5
361	Amo il manzo, ed anche il salmone.	6.2
424	Amo i merli più dei cani.	6.5
441	Amo le querce più degli animali.	4.7
99	Adoro il manzo, ma non il salmone.	5.18
276	Amo i gatti, ed anche le anatre.	6.2
25	Amo i merli, ma non gli uccelli.	3.17
443	Amo gli alberi più degli animali.	6.09
271	Amo i maiali, ed anche i pappagalli.	5.08
133	Amo i pappagalli, un tipo interessante di uccello.	6.89
265	Amo gli uccelli, ed anche i pappagalli.	4.18
393	Amo i pappagalli più dei gatti.	6.31
170	Amo i passeri, un tipo interessante di maiale.	1.17
125	Adoro il caviale, ma non il vitello.	4.73
174	Adoro le querce, un tipo interessante di erba.	1.33
351	Amo il salmone, ed anche i prodotti del mare.	4.5
388	Amo il vitello, ed anche il caviale.	6.17
135	Amo gli uccelli, un tipo interessante di gatto.	1.0
219	Adoro il pollo, un tipo interessante di salmone.	1.0
419	Amo gli uccelli più dei merli.	2.27
175	Adoro l' erba, un tipo interessante di quercia.	1.25
28	Amo i criceti, ma non i merli.	4.67
503	Amo il manzo più dei granchi.	5.54
332	Amo gli alberi, ed anche gli abeti.	3.45
299	Amo i passeri, ed anche i criceti.	5.92
449	Amo gli alberi più degli arbusti.	5.33
323	Amo le betulle, ed anche gli animali.	4.17
427	Amo i gatti più dei passeri.	6.33
35	Amo i passeri, ma non gli uccelli.	3.17
508	Amo le ostriche più del vitello.	6.36
222	Adoro i prodotti del mare, un tipo interessante di pollo.	1.0
315	Amo gli alberi, ed anche i cespugli.	5.33
316	Amo le querce, ed anche gli arbusti.	5.1
75	Adoro gli abeti, ma non gli arbusti.	4.25
357	Amo il salmone, ed anche il tacchino.	5.67
291	Amo i merli, ed anche i maiali.	5.64
226	Adoro il salmone, un tipo interessante di tacchino.	1.17
330	Amo l' erba, ed anche gli abeti.	5.2
181	Adoro gli alberi, un tipo interessante di animale.	1.0
502	Amo i granchi più del manzo.	3.77
493	Amo i prodotti del mare più del manzo.	6.91
202	Adoro gli abeti, un tipo interessante di animale.	1.42
19	Amo le anatre, ma non i maiali.	4.67
110	Adoro il manzo, ma non i granchi.	3.5
385	Amo il caviale, ed anche i prodotti del mare.	5.0
415	Amo i cani più delle anatre.	6.67
148	Amo le anatre, un tipo interessante di criceto.	1.31
2	Amo i pappagalli, ma non gli uccelli.	3.25
335	Amo gli abeti, ed anche i cespugli.	6.0
197	Adoro gli arbusti, un tipo interessante di betulla.	1.64
95	Adoro il salmone, ma non il tacchino.	3.83
113	Adoro le ostriche, ma non i prodotti del mare.	3.64
248	Adoro le ostriche, un tipo interessante di tacchino.	1.33
152	Amo le anatre, un tipo interessante di cane.	1.42
500	Amo i granchi più del tacchino.	6.09
185	Adoro le querce, un tipo interessante di arbusto.	3.42
371	Amo i granchi, ed anche il manzo.	5.89
122	Adoro il pollo, ma non il caviale.	4.91
440	Amo gli alberi più dell' erba.	6.11
215	Adoro i cespugli, un tipo interessante di pino.	1.62
439	Amo gli alberi più delle querce.	1.56
519	Amo il vitello più del caviale.	6.33
310	Amo le querce, ed anche gli animali.	6.56
401	Amo i pappagalli più dei maiali.	5.7
89	Adoro il salmone, ma non i prodotti del mare.	3.25
124	Adoro i prodotti del mare, ma non il caviale.	6.64
141	Amo gli uccelli, un tipo interessante di maiale.	1.59
6	Amo i criceti, ma non i pappagalli.	4.67
166	Amo i passeri, un tipo interessante di uccello.	6.78
372	Amo il manzo, ed anche i granchi.	4.58
102	Adoro il pollo, ma non i granchi.	4.33
62	Adoro gli animali, ma non le betulle.	1.45
55	Adoro gli arbusti, ma non le querce.	5.25
217	Adoro gli arbusti, un tipo interessante di pino.	1.92
243	Adoro il pollo, un tipo interessante di ostriche.	1.64
167	Amo gli uccelli, un tipo interessante di passero.	1.67
221	Adoro i prodotti del mare, un tipo interessante di salmone.	1.17
171	Amo i maiali, un tipo interessante di passero.	1.0
204	Adoro gli abeti, un tipo interessante di cespuglio.	1.18
183	Adoro i cespugli, un tipo interessante di quercia.	1.42
370	Amo il tacchino, ed anche i granchi.	6.0
453	Amo gli alberi più delle betulle.	2.22
288	Amo gli uccelli, ed anche i merli.	3.55
386	Amo i prodotti del mare, ed anche il caviale.	5.08
379	Amo le ostriche, ed anche il tacchino.	5.64
